id,MSISID,LEVEL,URL,geometry_wkt
17543,4736-WS-RSG-0039,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-RSG-0039.pdf,"LINESTRING (121.58547458014105 24.99522301122047, 121.58556668682343 24.995221286660822)"
17544,4736-WS-RSG-0038,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-RSG-0038.pdf,"LINESTRING (121.58533542971573 24.99522561649555, 121.58542852679841 24.99522387347894)"
17545,4736-WS-RSG-0037,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-RSG-0037.pdf,"LINESTRING (121.58519830112483 24.99522818378896, 121.58526465756059 24.995226941493144)"
17546,4736-WS-RSG-0036,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-RSG-0036.pdf,"LINESTRING (121.58508686739266 24.995230269935373, 121.58517699330199 24.995228582698317)"
17547,4736-WS-SOT-0022,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-SOT-0022.pdf,"LINESTRING (121.58876381624022 24.996332768361153, 121.58877254320583 24.99629942031828, 121.58876794881483 24.996272832838113, 121.58875742720265 24.99623515528573, 121.58874242485244 24.99619681836111, 121.58872702112025 24.9961698764224, 121.58868974829572 24.996120857158992, 121.58864628602788 24.996082632840277, 121.58859775040725 24.996050350982195, 121.58855020514642 24.9960304877873, 121.58850407795744 24.99601717333195, 121.58844361904104 24.996008546941404, 121.58838064244887 24.9960058438569, 121.58830447007887 24.996002985284147, 121.58823547251258 24.995998617702547, 121.58816550665729 24.995986453681038, 121.58814595553235 24.995980531405056, 121.5881466221628 24.99600657061456, 121.58814922928529 24.996015272376553, 121.58816559804187 24.99606631545834, 121.5885274351798 24.99609035806804, 121.58859196652074 24.99610573838531, 121.58867855585173 24.99616044296638, 121.5887155318666 24.996206917496675, 121.58873333856633 24.996235545107062, 121.58875708655629 24.99629603143298, 121.58875810085813 24.996332608733386, 121.58876381624022 24.996332768361153)"
17548,4736-WS-SOT-0021,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-SOT-0021.pdf,"LINESTRING (121.58758693465394 24.993384227911264, 121.58759007811318 24.993353664559294, 121.58752219527165 24.993350086690068, 121.58752131717533 24.993419588123253, 121.5872881598099 24.993396593352422, 121.58721301723332 24.993658053523447, 121.58727072460108 24.993672930615293, 121.58727314710244 24.993664165373325, 121.58722506281866 24.99365177662225, 121.58729560581718 24.99340632328736, 121.58752689922963 24.9934268878322, 121.58753147296385 24.993359619790624, 121.58757824086489 24.993362080315777, 121.58757705536105 24.9933835898241, 121.58758693465394 24.993384227911264)"
17549,4736-WS-SSC-0001,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-SSC-0001.pdf,"LINESTRING (121.58802772924221 24.993956136333498, 121.58825598069986 24.993973937994294, 121.58840435987568 24.993950912865262, 121.58840422372786 24.993922319955516, 121.58825584031254 24.99394444732361, 121.5880276293 24.993934115891964, 121.58802772924221 24.993956136333498)"
17550,4736-WS-RSG-0032,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-RSG-0032.pdf,"LINESTRING (121.58897898900618 24.99483434359075, 121.58896795448871 24.99480127238211, 121.58895654988171 24.994788235884, 121.58886825218315 24.994668756076923, 121.58885351696848 24.994637590883173, 121.58884758425465 24.994607663802885, 121.58884617092775 24.994554295553705, 121.58884957626668 24.99439373622523, 121.5888547137403 24.994355527230244, 121.58886219522186 24.99432069447676, 121.5888758716591 24.99426792554654)"
17551,4736-WS-SOT-0018,第四類,http://210.69.23.171/MSIS/PDF/4736-WS-SOT-0018.pdf,"LINESTRING (121.58910728272058 24.994206810352072, 121.58906508829817 24.994185066341245, 121.58889600788585 24.994208307153173, 121.58889783955429 24.994273381816463, 121.58888015265394 24.994273451825684, 121.58886621237308 24.994330622861902, 121.58885491254169 24.99439427683953, 121.58885252545036 24.994585430723717, 121.5888627219337 24.994644446925008, 121.58899063398232 24.99482298985421, 121.58905796788895 24.99477150261396, 121.58902610077655 24.994717632010268, 121.58898320708711 24.99463650422441, 121.58896231113717 24.99456707094963, 121.5889526429637 24.99448812279737, 121.58896607350214 24.994414942408127, 121.5890224255034 24.994295738614007, 121.58904430218865 24.994267511560825, 121.58910728272058 24.994206810352072)"
17552,4736-WS-SSG-0012,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-SSG-0012.pdf,"LINESTRING (121.5876963114104 24.995807611493547, 121.58778374402188 24.995774449105223, 121.58774060463212 24.995691559601422, 121.58772463110691 24.995671807998654, 121.58770555341087 24.99565964132723, 121.58768981021782 24.995654990876154, 121.5876557626903 24.995652895443158, 121.5875595742348 24.995665486940045, 121.58759021408615 24.99572834280799, 121.58762426163374 24.995730438255602, 121.58764000483417 24.995735088713445, 121.58765908253572 24.995747255393052, 121.58767505606062 24.99576700700267, 121.58769620870025 24.9958076504505)"
17553,4736-WS-SSG-0011,第四類,http://210.69.23.171/MSIS/PDF/4736-WS-SSG-0011.pdf,"LINESTRING (121.58754790571271 24.99557067587644, 121.58758343745937 24.995652893352315, 121.58764073663572 24.99564431441503, 121.58769303583821 24.995641697869463, 121.58771134836928 24.99564711458256, 121.58772179358449 24.995652147083536, 121.58773550304564 24.99566242101406, 121.58774876613742 24.995678817725874, 121.58776112900539 24.995697556258477, 121.58782974797136 24.99567022843801, 121.5878131836054 24.995642935280266, 121.58779456902299 24.995621919299687, 121.5877743528863 24.99560574868, 121.58774834781885 24.99559087388346, 121.58770685983113 24.995578163783794, 121.58766470974697 24.995574123217725, 121.58754790571271 24.99557067587644)"
17554,4736-WS-SSG-0010,第四類,http://210.69.23.171/MSIS/PDF/4736-WS-SSG-0010.pdf,"LINESTRING (121.58799048388522 24.995896950985394, 121.5879690236505 24.995882267192766, 121.58792600533434 24.99584151304897, 121.5878885162123 24.995794832696813, 121.58785738380175 24.995730379343435, 121.58783931001133 24.99568748792537, 121.58777232274288 24.99571416878887, 121.58786745856851 24.995920969513648, 121.58789475069702 24.9959364612341, 121.58799048388522 24.995896950985394)"
17555,4736-WS-GMS-0003,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-GMS-0003.pdf,"LINESTRING (121.58865929082837 24.995606035728915, 121.58867962265282 24.995622553348838, 121.58875576432783 24.99560966241971, 121.58881500578372 24.995587350677354, 121.58885761845876 24.99559491372322, 121.58888545713083 24.995607885175147, 121.5889084670887 24.99562824262585, 121.5889530462917 24.99565349816901, 121.58901356714853 24.995679304489713, 121.58902888627749 24.995686421136714, 121.58902895164948 24.995700134486487)"
17556,4736-WS-RSG-0028,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-RSG-0028.pdf,"LINESTRING (121.58816464099972 24.99580459604221, 121.58814292288672 24.99586207322595, 121.58808191605627 24.99583404757077, 121.58807580685325 24.995815925337318, 121.58805791164811 24.995752501790292)"
17557,4736-WS-RSG-0027,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-RSG-0027.pdf,"LINESTRING (121.58816536613476 24.995669741173316, 121.5881408648451 24.995617005881446, 121.5880704609517 24.99561890924741, 121.58805108396955 24.995656262666316)"
17558,4736-WS-SOT-0015,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-SOT-0015.pdf,"LINESTRING (121.58814292288672 24.99586207322595, 121.58808191605627 24.99583404757077, 121.58805791164811 24.995752501790292, 121.58804751738455 24.995660348415424, 121.58806932774252 24.99561575324337, 121.5881435433062 24.995615459858232, 121.5881720939246 24.995665895708772, 121.5883297687792 24.995671826607765, 121.58838677840231 24.995669678168476, 121.58853547868766 24.99565385514267, 121.58856616712094 24.99564016006029, 121.58858009012951 24.99559958708401, 121.58863927932593 24.995585016355296, 121.58867959864241 24.995617513580648, 121.58875517171386 24.995606152680594, 121.58881241867998 24.99558285961712, 121.58881293869739 24.99549657647705, 121.58875888648112 24.9955206244541, 121.58868169609605 24.99554730085376, 121.58859222093471 24.995569584016746, 121.58851774177727 24.995581073451465, 121.5884460100928 24.995587053898504, 121.58802191438772 24.995582176408515, 121.58800203241904 24.995586272475155, 121.58798678749032 24.995592652365243, 121.58797132694052 24.99560368255257, 121.5879586701125 24.99561893581381, 121.58794948127314 24.99563436495731, 121.58794493246431 24.995650624399453, 121.58794407463033 24.995666038673754, 121.5879535204019 24.995704605291692, 121.58797481235827 24.99575324553548, 121.58800867350864 24.995809843977863, 121.58802433766324 24.995824940162446, 121.58809354915148 24.995874275721086, 121.58813160300987 24.995893896717835, 121.58818609216817 24.995913714538474, 121.58823245159215 24.995921724195423, 121.58827658539431 24.995926257811014, 121.58834560898528 24.99592985788689, 121.58841806570318 24.99593255057473, 121.58848932105613 24.995938832115666, 121.58854826188455 24.995951111826425, 121.58860938995561 24.995971282403897, 121.58866827926562 24.99600185310069, 121.58869931844404 24.996025374740352, 121.58875392421253 24.996073792752348, 121.58879768642696 24.996131299767214, 121.58882400648909 24.996120759167955, 121.58878851457803 24.996054651809327, 121.58874402984782 24.995999350494355, 121.58868616057121 24.995950006474487, 121.58862952885899 24.995919219206485, 121.58855994818136 24.995890171391483, 121.58848993411631 24.995867878239732, 121.58815378194569 24.99583333463449, 121.58814292288672 24.99586207322595)"
17559,4736-WS-RSG-0051,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-RSG-0051.pdf,"LINESTRING (121.58897880340454 24.995005423740405, 121.5891087026393 24.994999178766975)"
17560,4736-WS-SOT-0013,第四類,http://210.69.23.171/MSIS/PDF/4736-WS-SOT-0013.pdf,"LINESTRING (121.5891087026393 24.994999178766975, 121.58910852726976 24.995010184655786, 121.58909028686978 24.995084304958702, 121.58906991264966 24.99513888797754, 121.58904142961953 24.995196455272243, 121.58900488710512 24.99525073214755, 121.58896478120027 24.995299371561135, 121.58892444919604 24.995337990722504, 121.58886138091844 24.995382495878232, 121.58881390931278 24.99540922624256, 121.58875853566077 24.995436601772074, 121.58869694411086 24.995462566426095, 121.58861562060035 24.995486797108054, 121.58860881981343 24.995458563596017, 121.58863258275464 24.995393702336795, 121.58872576868625 24.995372265795826, 121.5887938752127 24.99533356921344, 121.58891726104235 24.995238999513738, 121.58895801577222 24.995193472221636, 121.58898024634915 24.99514593277641, 121.58897880291411 24.995005209228452, 121.5891087026393 24.994999178766975)"
17561,4736-WS-SOT-0012,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-SOT-0012.pdf,"LINESTRING (121.58799513815192 24.994873375283888, 121.58796218388501 24.994867823823924, 121.58786032694611 24.994768293026542, 121.58763762306292 24.99477223989089, 121.58756478147947 24.994853248611747, 121.58757599464624 24.995009226715506, 121.58757430615924 24.995023004695064, 121.58756879381866 24.99503099299139, 121.5875469821341 24.995035490365193)"
17562,4736-WS-RSG-0016,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-RSG-0016.pdf,"LINESTRING (121.58500564167196 24.994294771235175, 121.58509990014417 24.99426229337079)"
17563,4736-WS-RSG-0017,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-RSG-0017.pdf,"LINESTRING (121.58495201959943 24.99438756442071, 121.58497683584064 24.994315117265753)"
17564,4736-WS-RSG-0018,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-RSG-0018.pdf,"LINESTRING (121.58496659304868 24.994491453334433, 121.5849545077555 24.994422451052404)"
17565,4736-WS-RSG-0019,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-RSG-0019.pdf,"LINESTRING (121.58499776419262 24.99456523931097, 121.58497571129652 24.99451884928721)"
17566,4736-WS-SOT-0010,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-SOT-0010.pdf,"LINESTRING (121.58522947492598 24.99540049722868, 121.58502726824814 24.995404149511693, 121.58482416675204 24.995418453355768, 121.58456513353259 24.995449522353702, 121.58443742433768 24.995464360661792, 121.58434030297455 24.995484992096834, 121.58422316550828 24.99553166676217, 121.5840566668557 24.99565542073153, 121.58400347719004 24.99559569413452, 121.58403885733999 24.99555908189789, 121.5840686478227 24.995534498912285, 121.58414163712364 24.995482273933916, 121.58423511715975 24.995432130671784, 121.58429113702346 24.995405266791533, 121.58437777733542 24.99537490577094, 121.58445950174251 24.995354745578293, 121.58452666501819 24.995341061500742, 121.5846367579471 24.99536536577097, 121.58516853668613 24.99538050424956, 121.58522947492598 24.99540049722868)"
17567,4736-WS-SOT-0009,第五類,http://210.69.23.171/MSIS/PDF/4736-WS-SOT-0009.pdf,"LINESTRING (121.5840566668557 24.99565542073153, 121.58422316550828 24.99553166676217, 121.58434030297455 24.995484992096834, 121.58443742433768 24.995464360661792, 121.58456513353259 24.995449522353702, 121.58482354726151 24.995418551651145, 121.58502726824814 24.995404149511693, 121.58522947492598 24.99540049722868, 121.5853043726127 24.995430270532918, 121.58514589454394 24.995428266783357, 121.58502951864037 24.99543485451977, 121.58495146223486 24.995444072141996, 121.58481422850494 24.995468364483774, 121.58470132852031 24.995497752195803, 121.58460809515827 24.99552776673001, 121.58452531242268 24.9955598075701, 121.58441716591227 24.995607765157427, 121.58435526897082 24.995640590549158, 121.58427442988965 24.995687759151505, 121.58415921491981 24.99576683741345, 121.5840566668557 24.99565542073153)"
17568,4736-WS-RSG-0015,第四類,http://210.69.23.171/MSIS/PDF/4736-WS-RSG-0015.pdf,"LINESTRING (121.58508326364365 24.995506402332673, 121.58514719062376 24.995503230652325, 121.58533474989146 24.99550594220128)"
17569,4736-WS-RSG-0013,第四類,http://210.69.23.171/MSIS/PDF/4736-WS-RSG-0013.pdf,"LINESTRING (121.5862243810247 24.99553365762714, 121.58591333600883 24.99552494556684)"
17570,4736-WS-SSG-0008,第四類,http://210.69.23.171/MSIS/PDF/4736-WS-SSG-0008.pdf,"LINESTRING (121.58704987169332 24.995554862974146, 121.58704875019282 24.995592903621485, 121.58684703511359 24.995579399060336, 121.58684689179252 24.995549222027265)"
17571,4736-WS-SSG-0007,第四類,http://210.69.23.171/MSIS/PDF/4736-WS-SSG-0007.pdf,"LINESTRING (121.58707257765752 24.995555488064195, 121.58707145780465 24.99559347306254, 121.58734680818361 24.995599184580218, 121.58734883613323 24.995562982752304)"
