StationName,StationId,Maintainer,DateTime,StationLatitude,StationLongitude,StationAltitude,CountyName,TownName,CountyCode,TownCode,Precipitation
玉成,A1AB40,臺北市政府工務局水利工程處,2025-05-31T19:30:00+08:00,25.052193,121.582507,27.0,臺北市,南港區,63000,63000090,0.0
建國,A1AB50,臺北市政府工務局水利工程處,2025-05-31T19:30:00+08:00,25.072195,121.528909,25.0,臺北市,中山區,63000,63000040,0.0
福德,A1AB60,臺北市政府工務局水利工程處,2025-05-31T19:30:00+08:00,25.099395,121.528911,14.0,臺北市,士林區,63000,63000110,0.0
奇岩,A1AB70,臺北市政府工務局水利工程處,2025-05-31T19:30:00+08:00,25.123897,121.503113,28.0,臺北市,北投區,63000,63000120,0.0
雙溪,A1AB80,臺北市政府工務局水利工程處,2025-05-31T19:30:00+08:00,25.113593,121.569411,127.0,臺北市,士林區,63000,63000110,0.0
大豹,01A210,水利署第10河川分署,2025-05-31T19:30:00+08:00,24.887277,121.421373,600.0,新北市,三峽區,65000,65000090,0.0
福山(3),01A430,水利署第10河川分署,2025-05-31T19:30:00+08:00,24.779800,121.497357,500.0,新北市,烏來區,65000,65000290,0.0
大桶山,01A440,水利署第10河川分署,2025-05-31T19:30:00+08:00,24.876212,121.562992,916.0,新北市,烏來區,65000,65000290,0.0
坪林(4),01A450,水利署第10河川分署,2025-05-31T19:30:00+08:00,24.936401,121.710339,200.0,新北市,坪林區,65000,65000200,0.0
中正橋,01A410,水利署第10河川分署,2025-05-31T19:30:00+08:00,25.021931,121.516401,15.0,臺北市,中正區,63000,63000050,0.0
竹子湖,01A420,水利署第10河川分署,2025-05-31T19:30:00+08:00,25.162299,121.544050,600.0,臺北市,士林區,63000,63000110,0.0
碧湖,01A190,水利署第10河川分署,2025-05-31T19:30:00+08:00,24.890886,121.745559,360.0,新北市,坪林區,65000,65000200,0.0
石碇(2),01A130,水利署第10河川分署,2025-05-31T19:30:00+08:00,24.991596,121.657883,250.0,新北市,石碇區,65000,65000190,0.0
三峽,01A220,水利署第10河川分署,2025-05-31T19:30:00+08:00,24.938878,121.355555,33.0,新北市,三峽區,65000,65000090,0.0
瑞芳(2),01A380,水利署第10河川分署,2025-05-31T19:30:00+08:00,25.110338,121.803301,101.0,新北市,瑞芳區,65000,65000120,0.0
火燒寮,01A200,水利署第10河川分署,2025-05-31T19:30:00+08:00,24.981089,121.749275,380.0,新北市,平溪區,65000,65000240,0.0
熊空山,01AG10,水利署第10河川分署,2025-05-31T19:30:00+08:00,24.875610,121.451992,778.0,新北市,三峽區,65000,65000090,0.0
社后橋,01AG00,水利署第10河川分署,2025-05-31T19:30:00+08:00,25.063288,121.633793,13.0,新北市,汐止區,65000,65000110,0.0
三貂嶺,01AF90,水利署第10河川分署,2025-05-31T19:30:00+08:00,25.059541,121.820556,118.0,新北市,瑞芳區,65000,65000120,0.0
富貴角,01A350,水利署第10河川分署,2025-05-31T19:30:00+08:00,25.288486,121.544109,0.0,新北市,石門區,65000,65000220,0.0
太平,L1A840,臺北市政府臺北翡翠水庫管理局,2025-05-31T19:30:00+08:00,24.971779,121.828198,403.0,新北市,雙溪區,65000,65000250,0.0
碧湖,L1A800,臺北市政府臺北翡翠水庫管理局,2025-05-31T19:30:00+08:00,24.892584,121.745694,386.0,新北市,坪林區,65000,65000200,0.0
坪林,L1A830,臺北市政府臺北翡翠水庫管理局,2025-05-31T19:30:00+08:00,24.936785,121.713797,210.0,新北市,坪林區,65000,65000200,0.0
九芎根,L1A810,臺北市政府臺北翡翠水庫管理局,2025-05-31T19:30:00+08:00,24.902389,121.649896,378.0,新北市,石碇區,65000,65000190,0.0
十三股,L1A820,臺北市政府臺北翡翠水庫管理局,2025-05-31T19:30:00+08:00,24.943989,121.649599,530.0,新北市,石碇區,65000,65000190,0.0
翡翠,L1A790,臺北市政府臺北翡翠水庫管理局,2025-05-31T19:30:00+08:00,24.907093,121.580097,202.0,新北市,新店區,65000,65000060,0.0
舊莊里,A1AC50,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,25.033990,121.624705,47.0,臺北市,南港區,63000,63000090,0.0
茶製場,A1AD70,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,25.028388,121.663304,375.0,臺北市,南港區,63000,63000090,0.0
九如里,A1AC60,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,25.032491,121.611605,44.0,臺北市,南港區,63000,63000090,0.0
安泰里,A1AD30,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,25.087591,121.613109,97.0,臺北市,內湖區,63000,63000100,0.0
溪山里,A1AC90,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,25.136892,121.588912,453.0,臺北市,士林區,63000,63000110,0.0
明德樂園,A1AC80,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,25.113693,121.565711,111.0,臺北市,士林區,63000,63000110,0.0
菁山里,A1AD00,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,25.143993,121.566013,489.0,臺北市,士林區,63000,63000110,0.0
擎天崗,A1AD10,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,25.163293,121.568014,769.0,臺北市,士林區,63000,63000110,0.0
貴子坑,A1AD80,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,25.155898,121.489815,278.0,臺北市,北投區,63000,63000120,0.0
挹翠山莊,A1AC70,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,25.017093,121.574405,118.0,臺北市,信義區,63000,63000020,0.0
指南里,A1AC40,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,24.981493,121.580302,103.0,臺北市,文山區,63000,63000080,0.0
貓空,A1AD60,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,24.968892,121.595301,317.0,臺北市,文山區,63000,63000080,0.0
八里,C0AD10,中央氣象署,2025-05-31T19:30:00+08:00,25.150211,121.403947,27.0,新北市,八里區,65000,65000230,0.0
蘆洲,C0AD30,中央氣象署,2025-05-31T19:30:00+08:00,25.086594,121.472331,20.0,新北市,蘆洲區,65000,65000140,0.0
土城,C0AD40,中央氣象署,2025-05-31T19:30:00+08:00,24.973208,121.445169,32.0,新北市,土城區,65000,65000130,0.0
鶯歌,C0AD50,中央氣象署,2025-05-31T19:30:00+08:00,24.951533,121.346294,84.0,新北市,鶯歌區,65000,65000080,0.0
四獸山,A1AG40,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,25.029293,121.582905,315.0,臺北市,信義區,63000,63000020,0.0
福州山,A1AG60,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,25.016894,121.554305,122.0,臺北市,大安區,63000,63000030,0.0
金面山,A1AG80,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,25.094893,121.569910,80.0,臺北市,內湖區,63000,63000100,0.0
大湖里,A1AG20,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,25.096391,121.604109,181.0,臺北市,內湖區,63000,63000100,0.0
稻香里,A1AG30,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,25.147998,121.483915,160.0,臺北市,北投區,63000,63000120,0.0
劍潭山,A1AG50,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,25.083096,121.528410,143.0,臺北市,中山區,63000,63000040,0.0
仙跡岩,A1AG70,臺北市政府工務局大地工程處,2025-05-31T19:30:00+08:00,24.989295,121.543203,81.0,臺北市,文山區,63000,63000080,0.0
永和,C0AH10,中央氣象署,2025-05-31T19:30:00+08:00,25.011250,121.508111,30.0,新北市,永和區,65000,65000040,0.0
平溪旅遊,NUP460,水利署第10河川分署,2025-05-31T19:30:00+08:00,25.048418,121.773797,101.0,新北市,平溪區,65000,65000240,0.0
上林國小,O1AH20,水利署第1河川分署,2025-05-31T19:30:00+08:00,25.029351,121.832514,71.0,新北市,雙溪區,65000,65000250,0.0
吉林國小,O1AH30,水利署第1河川分署,2025-05-31T19:30:00+08:00,24.985827,121.887489,174.0,新北市,貢寮區,65000,65000260,0.0
精忠,81AH40,農村水保署,2025-05-31T19:30:00+08:00,24.959713,121.532080,47.0,新北市,新店區,65000,65000060,0.0
五分山,C0AH30,中央氣象署,2025-05-31T19:30:00+08:00,25.071250,121.780794,755.0,新北市,瑞芳區,65000,65000120,0.0
平等,C0AH40,中央氣象署,2025-05-31T19:30:00+08:00,25.129142,121.577086,426.0,臺北市,士林區,63000,63000110,0.0
大粗坑,81AI30,農村水保署,2025-05-31T19:30:00+08:00,25.091251,121.838927,84.0,新北市,瑞芳區,65000,65000120,0.0
萬里國小,81AH50,農村水保署,2025-05-31T19:30:00+08:00,25.175833,121.689444,10.0,新北市,萬里區,65000,65000280,0.0
長坑國小,81AH60,農村水保署,2025-05-31T19:30:00+08:00,25.126667,121.390556,34.0,新北市,八里區,65000,65000230,0.0
柑林國小,81AH70,農村水保署,2025-05-31T19:30:00+08:00,25.015833,121.804444,93.0,新北市,雙溪區,65000,65000250,0.0
五城加油站,81AH80,農村水保署,2025-05-31T19:30:00+08:00,24.939858,121.470989,73.0,新北市,新店區,65000,65000060,0.0
信賢派出所,81AH90,農村水保署,2025-05-31T19:30:00+08:00,24.838333,121.526111,253.0,新北市,烏來區,65000,65000290,0.0
五寮國小,81AI00,農村水保署,2025-05-31T19:30:00+08:00,24.858889,121.360000,172.0,新北市,三峽區,65000,65000090,0.0
建安國小,81AI10,農村水保署,2025-05-31T19:30:00+08:00,24.925692,121.446624,91.0,新北市,三峽區,65000,65000090,0.0
有木國小,81AI20,農村水保署,2025-05-31T19:30:00+08:00,24.853611,121.437500,249.0,新北市,三峽區,65000,65000090,0.0
